"Map1","Map2","Choice","MapVote","Date","FullPartial","Result","Eliminations","Deaths","Score","Damage","TotalXP","PrimaryWeapon","XPType","DidPlayerVote","GameType","Confirms","Denies","Objectives","ObjectiveKills","Captures","Diffuses","Plants","Time_Sec","Time_Min"
"Armada Strike","Satellite","Armada Strike","2 to 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crossroads Strike","Checkmate","Crossroads Strike","2 to 0",2020-12-31,"Full","100-92",22,14,3255,3460,14092,NA,"Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cartel","Nuketown '84 Holiday","Nuketown '84 Holiday","3 to 1",2020-12-31,"Full","98-100",29,21,5140,4238,16880,NA,"Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cartel","Moscow","Moscow","2 to 1",2020-12-31,"Full","89-70",14,12,1615,2013,17289,NA,"Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Armada Strike","Cartel","Cartel","2 to 1",2020-12-31,"Full","88-83",28,17,5415,4107,23820,NA,"Double XP + 10%","Yes","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"The Pines","Checkmate","Checkmate","3 to 0",2020-12-31,"Full","100-86",10,17,1665,1835,14533,NA,"Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cartel","Miami","Cartel","4 to 0",2020-12-31,"Full","100-89",22,16,2775,3134,20395,NA,"Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Satellite","Nuketown '84 Holiday","Nuketown '84 Holiday","3 to 0",2020-12-31,"Full","92-100",13,14,2395,1860,10511,NA,"Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Armada Strike","Raid","Raid","2 to 1",2020-12-31,"Full","94-100",15,18,2050,2118,15979,NA,"Double XP + 10%","Yes","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Armada Strike","Crossroads Strike","Crossroads Strike","2 to 0",2020-12-31,"Full","82-100",14,17,1875,2120,10306,NA,"Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Armada Strike","Satellite","Armada Strike","4 to 2",2020-12-31,"Full","100-73",17,9,2825,1908,16243,NA,"Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"The Pines","Nuketown '84 Holiday","Nuketown '84 Holiday","3 to 1",2020-12-31,"Full","78-100",18,10,3210,2286,16140,NA,"Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miami","Moscow","Moscow","2 to 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miami","Crossroads Strike","Crossroads Strike","2 to 0",2020-12-31,"Full","100-98",14,15,1335,1956,11183,NA,"Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cartel","Nuketown '84 Holiday","Nuketown '84 Holiday","4 to 1",2020-12-31,"Full","88-100",21,19,4015,3260,12955,NA,"Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miami","Checkmate","Checkmate","2 to 0",2020-12-31,"Full","100-97",20,18,2695,3282,24919,NA,"Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cartel","Raid","Raid","3 to 1",2020-12-31,"Full","100-81",18,17,3170,2554,21255,NA,"Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moscow","Crossroads Strike","Crossroads Strike","4 to 1",2020-12-31,"Full","100-90",25,17,2745,3363,15380,NA,"Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Checkmate","Moscow","Checkmate","3 to 0",2020-12-31,"Full","90-100",13,13,2940,2194,12505,NA,"Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cartel","Satellite","Satellite","2 to 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Crossroads Strike",NA,2020-12-31,"Full","100-96",24,10,3965,3178,19452,NA,"Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"The Pines","Satellite","The Pines","2 to 1",2020-12-31,"Full","100-72",13,8,2440,1846,15404,NA,"Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nuketown '84 Holiday","Moscow","Nuketown '84 Holiday","6 to 0",2020-12-31,"Full","96-100",12,16,1235,1446,9532,NA,"Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cartel","Checkmate","Checkmate","2 to 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Armada Strike",NA,2021-01-01,"Partial","81-97",7,10,950,1379,8283,NA,"Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Checkmate","Miami","Miami","2 to 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Raid","Cartel","Raid","3 to 1",2021-01-01,"Full","76-100",14,18,1800,2443,13940,NA,"Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crossroads Strike","The Pines","Crossroads Strike","3 to 0",2021-01-01,"Full","100-52",25,8,3920,3479,19886,NA,"Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Satellite","Raid","Satellite","3 to 0",2021-01-01,"Full","77-69",27,14,5425,4232,32389,NA,"Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moscow","Cartel","Moscow","3 to 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cartel","Moscow","Cartel","2 to 1",2021-01-01,"Full","95-68",19,14,3060,2772,21058,NA,"Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Armada Strike","Miami","Armada Strike","2 to 2",2021-01-01,"Full","87-100",18,15,3830,2791,19119,NA,"Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cartel","The Pines","The Pines","1 to 0",2021-01-01,"Full","100-74",8,12,1050,1317,13664,NA,"Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nuketown '84 Holiday","Checkmate","Checkmate","2 to 1",2021-01-01,"Full","67-100",12,18,1465,1896,13168,NA,"Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Cartel",NA,2021-01-01,"Full","100-76",15,12,2180,2327,21161,NA,"Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Raid",NA,2021-01-01,"Partial","97-100",5,5,1020,880,4827,NA,"Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miami","Cartel","Cartel","3 to 0",2021-01-01,"Full","62-91",10,14,1915,1255,16009,NA,"Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miami","The Pines","The Pines","2 to 0",2021-01-01,"Full","90-71",6,11,1155,1080,13262,NA,"Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nuketown '84 Holiday","Cartel","Nuketown '84 Holiday","3 to 0",2021-01-01,"Full","82-100",26,12,5520,3191,21880,NA,"Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moscow","Crossroads Strike","Moscow","1 to 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Satellite",NA,2021-01-01,"Partial","89-90",22,8,5150,3099,20341,NA,"Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Armada Strike",NA,2021-01-01,"Partial","92-83",7,8,400,1070,8781,NA,"Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Checkmate","Garrison","Checkmate","1 to 0",2021-01-01,"Full","83-100",15,18,2020,2335,14306,NA,"Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moscow","The Pines","Moscow","2 to 1",2021-01-01,"Full","74-93",20,19,1990,2929,19061,NA,"Double XP + 10%","Yes","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Garrison","Satellite","Garrison","3 to 2",2021-01-01,"Full","85-74",22,16,4270,3390,18177,NA,"Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Miami",NA,2021-01-01,"Full","3 to 0",12,9,3215,2134,20284,NA,"Double XP + 10%","No","Control",NA,NA,14,10,4,NA,NA,NA,NA
"Moscow","The Pines","The Pines","4 to 2",2021-01-01,"Full","3 to 0",19,8,2545,2319,18667,NA,"Double XP + 10%","No","Control",NA,NA,9,8,1,NA,NA,NA,NA
"Nuketown '84 Holiday","Satellite","Nuketown '84 Holiday","4 to 2",2021-01-01,"Full","3 to 2",21,25,3815,2664,20466,NA,"Double XP + 10%","No","Control",NA,NA,19,17,2,NA,NA,NA,NA
NA,NA,"Checkmate",NA,2021-01-02,"Full","100-95",16,16,2600,2607,19458,NA,"Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Armada Strike","Moscow","Armada Strike","4 to 0",2021-01-02,"Full","61-100",12,19,1570,2704,12875,NA,"Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Raid","Checkmate","Raid","3 to 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Raid","Checkmate","Raid","0 to 0",2021-01-02,"Full","100-81",17,14,3160,2713,22285,NA,"Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cartel","Moscow","Moscow","1 to 0",2021-01-02,"Full","95-66",9,15,865,1764,14449,NA,"Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Satellite","Checkmate","Satellite","3 to 1",2021-01-02,"Full","83-70",9,16,1180,1233,13988,NA,"Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nuketown '84 Holiday","Crossroads Strike","Nuketown '84 Holiday","3 to 1",2021-01-02,"Full","88-100",15,18,2050,2439,10720,NA,"Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Satellite","Miami","Satellite","2 to 0",2021-01-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cartel","Miami","Cartel","4 to 4",2021-01-02,"Full","100-71",26,10,4125,3599,25219,NA,"Double XP + 10%","Yes","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Garrison","The Pines","Garrison","2 to 0",2021-01-02,"Full","72-100",14,16,1770,1821,15334,NA,"Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cartel","Checkmate","Cartel","3 to 1",2021-01-02,"Full","80-87",8,15,1380,1001,12158,NA,"Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Armada Strike","The Pines","Armada Strike","3 to 1",2021-01-02,"Full","72-94",14,9,4345,2153,19875,NA,"Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miami","Checkmate","Checkmate","4 to 0",2021-01-02,"Full","100-76",21,16,3360,3249,20175,"Pelington 703","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moscow","Checkmate","Checkmate","3 to 0",2021-01-02,"Full","74-100",11,22,1595,1541,16749,"Pelington 703","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cartel","Satellite","Cartel","1 to 1",2021-01-02,"Full","90-61",18,10,3130,2288,19471,"Pelington 703","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Raid","Garrison","Raid","3 to 1",2021-01-02,"Full","72-100",12,14,1930,1968,13307,"Pelington 703","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nuketown '84 Holiday","The Pines","Nuketown '84 Holiday","3 to 0",2021-01-02,"Full","100-99",18,17,2345,2214,14484,"Pelington 703","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Armada Strike","Checkmate","Armada Strike","1 to 0",2021-01-02,"Full","86-80",14,16,2665,2412,16851,"Pelington 703","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miami","Garrison","Miami","4 to 2",2021-01-02,"Full","64-47",12,7,2210,1642,17887,"Pelington 703","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Raid","Moscow","Moscow","1 to 0",2021-01-02,"Full","89-83",27,9,4555,3457,24000,"Pelington 703","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miami","Crossroads Strike","Crossroads Strike","4 to 0",2021-01-02,"Full","100-69",25,9,8320,3370,21226,"Krig","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nuketown '84 Holiday","Satellite","Satellite","4 to 1",2021-01-02,"Full","100-90",37,11,10710,5829,26042,"Krig","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cartel","Raid","Raid","3 to 1",2021-01-02,"Full","100-76",28,13,5120,3688,32518,"Krig","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Armada Strike","Garrison","Armada Strike","5 to 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"The Pines",NA,2021-01-02,"Full",NA,16,18,1635,2803,16592,"AK 47","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Armada Strike","Checkmate","Checkmate","2 to 0",2021-01-02,"Full","77-100",17,19,3420,2618,20672,"AK 47","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Moscow",NA,2021-01-02,"Full","84-84",21,19,2140,3432,23619,"AK 47","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miami","Cartel","Cartel","4 to 0",2021-01-02,"Full","100-83",15,14,2150,2467,17396,"AK 47","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Satellite","Raid","Raid","2 to 1",2021-01-02,"Full","72-100",14,17,1835,2270,12978,"AK 47","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cartel","Crossroads Strike","Crossroads Strike","3 to 0",2021-01-02,"Full","100-89",16,17,1545,2900,12486,"AK 47","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moscow","Garrison","Moscow","2 to 0",2021-01-02,"Full","73-96",22,14,3095,2735,17864,"AK 47","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"The Pines","Cartel","The Pines","3 to 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Armada Strike","Cartel","Cartel","2 to 1",2021-01-03,"Full","75-84",10,16,960,2151,13723,"AK 47","Double XP + 10%","Yes","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miami","The Pines","The Pines","4 to 0",2021-01-03,"Full","89-90",20,14,2185,2519,17035,"AK 47","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miami","Armada Strike","Miami","1 to 1",2021-01-03,"Full","56-49",11,7,2140,2038,16472,"AK 47","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"The Pines","Garrison","The Pines","0 to 0",2021-01-03,"Full","93-69",27,9,4600,3945,21514,"AK 47","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cartel","Satellite","Satellite","3 to 0",2021-01-03,"Full","100-67",34,11,5830,4510,21483,"AK 47","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moscow","Cartel","Moscow","3 to 0",2021-01-03,"Full","67-98",18,20,3140,2909,15778,"AK 47","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Satellite","Armada Strike","Satellite","3 to 0",2021-01-03,"Full","93-100",10,19,1575,1990,11209,"AK 47","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crossroads Strike","Checkmate","Crossroads Strike","3 to 0",2021-01-03,"Full","94-100",24,17,2805,3524,18345,"AK 47","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moscow","Garrison","Moscow","4 to 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moscow","Checkmate","Checkmate","1 to 0",2021-01-03,"Full","99-100",17,15,3100,2695,21053,"AK 47","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Raid","Satellite","Raid","2 to 2",2021-01-03,"Full","75-100",23,16,4570,3704,18649,"AK 47","Double XP + 10%","Yes","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cartel","The Pines","Cartel","4 to 1",2021-01-03,"Full","85-68",14,14,2805,2053,20342,"AK 47","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Armada Strike","Miami","Armada Strike","2 to 1",2021-01-03,"Full","93-81",19,11,3195,3313,21945,"AK 47","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cartel","Moscow","Cartel","1 to 1",2021-01-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Raid","Satellite","Raid","3 to 2",2021-01-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Cartel",NA,2021-01-03,"Partial","80-85",12,12,850,1550,11171,"AK 47","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Raid","Moscow","Raid","3 to 0",2021-01-03,"Full","92-100",16,17,2075,2550,14816,"AK 47","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nuketown '84 Holiday","Satellite","Satellite","4 to 3",2021-01-03,"Full","100-77",11,15,1880,1538,16310,"AK 47","Double XP + 10%","Yes","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Garrison","Crossroads Strike","Crossroads Strike","2 to 1",2021-01-03,"Full","90-100",17,13,3420,2225,12247,"AK 47","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Checkmate","Garrison","Checkmate","1 to 1",2021-01-03,"Full","82-92",18,13,4155,2948,18315,"AK 47","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Armada Strike","Moscow","Moscow","4 to 2",2021-01-03,"Full","83-100",11,19,1680,1891,13954,"AK 47","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nuketown '84 Holiday","The Pines","Nuketown '84 Holiday","2 to 2",2021-01-03,"Full","100-93",23,12,4045,2622,17144,"AK 47","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cartel","Raid","Cartel","1 to 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Armada Strike",NA,2021-01-03,"Partial","71-100",3,6,550,521,5754,"AK 47","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crossroads Strike","Miami","Miami","2 to 1",2021-01-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Armada Strike",NA,2021-01-04,"Full","50-100",9,17,1975,1619,11309,"AK 47","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Garrison","Checkmate","Garrison","2 to 0",2021-01-04,"Full","100-84",21,15,3825,3183,18646,"AK 47","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miami","Cartel","Miami","2 to 1",2021-01-04,"Full","71-88",14,10,2405,2100,16331,"AK 47","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Satellite","Armada Strike","Armada Strike","2 to 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Raid","Cartel","Raid","2 to 0",2021-01-04,"Full","54-100",12,19,1840,2042,12673,"AK 47","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Armada Strike","The Pines","Armada Strike","3 to 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"The Pines","Satelite","The Pines","3 to 1",2021-02-07,"Full","84-100",14,12,1445,2062,12374,"AK 47","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cartel","Nuketown '84","Nuketown '84","3 to 0",2021-02-07,"Full","100-93",19,14,2480,2075,13798,"AK 47","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Garrison","Moscow","Garrison","4 to 0",2021-02-07,"Full","88-80",19,16,2345,3044,19750,"AK 47","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Checkmate","Cartel","Checkmate","3 to 1",2021-02-07,"Full","97-89",17,20,1725,2583,18093,"AK 47","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"The Pines","Raid","Raid","4 to 0",2021-02-07,"Full","100-81",25,12,3500,3444,20543,"AK 47","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Express","The Pines","The Pines","2 to 0",2021-02-07,"Full",NA,NA,NA,NA,NA,NA,"AK 47","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Garrison","Moscow","Garrison","2 to 2",2021-02-07,"Full","100-93",23,16,3320,3570,30772,"AK 47","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miami","Nuketown '84","Nuketown '84","3 to 1",2021-02-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Armada Strike","The Pines","Armada Strike","3 to 1",2021-02-20,"Full","87-100",12,22,1700,2445,13910,"AK 47","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Express","Nuketown '84","Nuketown '84","2 to 1",2021-02-20,"Full","95-100",12,18,1915,1986,9880,"AK 47","Double XP + 10%","Yes","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Checkmate","Miami","Checkmate","3 to 0",2021-02-20,"Full","81-59",11,13,1470,1811,15329,"AK 47","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Moscow",NA,2021-02-20,"Full","100-92",22,15,4520,3303,19893,"AK 47","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Raid",NA,2021-02-20,"Partial","96-100",14,19,1760,2034,13098,"AK 47","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miami","The Pines","The Pines","2 to 0",2021-02-20,"Full","87-96",14,12,2335,2328,13536,"AK 47","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Armada Strike","Satellite","Satellite","2 to 1",2021-02-20,"Full","88-72",23,14,4025,3764,18959,"AK 47","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crossroads Strike","Armada Strike","Crossroads Strike","3 to 3",2021-02-20,"Full","100-91",18,13,2445,2459,11992,"AK 47","Double XP + 10%","Yes","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nuketown '84","Moscow","Moscow","5 to 2",2021-02-20,"Full","70-100",12,19,1890,1833,13657,"AK 47","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cartel","Raid","Raid","4 to 1",2021-02-20,"Full","100-94",18,20,2865,2712,15896,"AK 47","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cartel","Crossroads Strike","Crossroads Strike","3 to 0",2021-02-20,"Full","100-82",17,16,2280,2797,16065,"AK 47","Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
